"sourceid","dstid","year","avg_travel_time"
362,1,2019,57.7438333333333
362,16,2016,31.1150476190476
362,16,2017,32.3864722222222
362,16,2018,31.7825
362,16,2019,30.3003055555556
362,16,2020,29.5756666666667
362,17,2015,22.9234090909091
362,17,2016,24.9646944444444
362,17,2017,27.4339861111111
362,17,2018,24.1658148148148
362,17,2019,22.5796666666667
362,17,2020,22.0218333333333
362,18,2015,37.7891333333333
362,18,2016,39.8802083333333
362,18,2017,41.8516944444444
362,18,2018,41.2749074074074
362,18,2019,39.3684583333333
362,18,2020,38.1502222222222
362,19,2017,47.4391666666667
362,19,2018,45.5182222222222
362,19,2019,43.2820138888889
362,19,2020,41.9136666666667
362,20,2016,43.8468333333333
362,20,2017,47.7590238095238
362,20,2018,45.4735
362,20,2019,44.9530972222222
362,20,2020,43.4215555555556
362,21,2017,51.4976666666667
362,21,2018,49.0504333333333
362,21,2019,47.9199166666667
362,21,2020,46.4183333333333
362,22,2015,43.2001666666667
362,22,2016,43.5312777777778
362,22,2017,45.5745972222222
362,22,2018,44.8941111111111
362,22,2019,43.1403472222222
362,22,2020,41.8583333333333
362,24,2016,28.75
362,24,2017,30.5075208333333
362,24,2018,29.8955185185185
362,24,2019,29.0631111111111
362,24,2020,28.6575555555556
362,25,2017,30.3976333333333
362,25,2018,30.0957222222222
362,25,2019,29.3178333333333
362,25,2020,28.5780555555556
362,26,2016,22.8646111111111
362,26,2017,22.9020277777778
362,26,2018,22.7015925925926
362,26,2019,21.9251944444444
362,26,2020,21.4517777777778
362,27,2016,18.1674666666667
362,27,2017,20.033303030303
362,27,2018,19.513037037037
362,27,2019,18.833375
362,27,2020,17.9582222222222
362,30,2015,10.2976527777778
362,30,2016,11.4454722222222
362,30,2017,12.0300555555556
362,30,2018,12.0759814814815
362,30,2019,10.5996388888889
362,30,2020,10.2332222222222
362,32,2019,56.8569166666667
362,33,2017,57.4432777777778
362,33,2018,55.4848888888889
362,33,2019,55.0165416666667
362,33,2020,54.5407777777778
362,34,2017,58.7955666666667
362,34,2018,57.2077037037037
362,34,2019,57.5420416666667
362,34,2020,56.4467222222222
362,35,2017,50.5016527777778
362,35,2018,49.4208148148148
362,35,2019,47.9623055555556
362,35,2020,46.4751111111111
362,36,2017,51.328
362,36,2018,51.1556851851852
362,36,2019,50.2915416666667
362,36,2020,49.4427777777778
362,45,2019,58.0926666666667
362,45,2020,60.9876666666667
362,47,2017,57.6022222222222
362,47,2018,52.1140238095238
362,47,2019,50.9238472222222
362,47,2020,49.4861111111111
362,50,2017,33.9986666666667
362,50,2018,33.4714444444444
362,50,2019,31.9144027777778
362,50,2020,31.9602777777778
362,54,2017,46.4265
362,54,2018,43.3887037037037
362,54,2019,41.2930833333333
362,54,2020,40.0281111111111
362,55,2015,31.5555416666667
362,55,2016,34.3279305555556
362,55,2017,36.9175
362,55,2018,33.258462962963
362,55,2019,31.7909027777778
362,55,2020,30.6068333333333
362,56,2015,29.5454333333333
362,56,2016,31.1815694444444
362,56,2017,33.663
362,56,2018,29.6651111111111
362,56,2019,27.6581111111111
362,56,2020,26.3100555555556
362,57,2015,33.129696969697
362,57,2016,34.5775277777778
362,57,2017,35.3131666666667
362,57,2018,33.0436296296296
362,57,2019,31.6091111111111
362,57,2020,30.5473333333333
362,58,2015,33.2137222222222
362,58,2016,35.5171944444444
362,58,2017,36.9856388888889
362,58,2018,34.3583148148148
362,58,2019,32.7680833333333
362,58,2020,31.9125555555556
362,59,2015,33.0945416666667
362,59,2016,36.0843611111111
362,59,2017,37.3812916666667
362,59,2018,36.1649259259259
362,59,2019,34.7933888888889
362,59,2020,34.3411666666667
362,60,2017,53.9798333333333
362,60,2018,49.8106666666667
362,60,2019,46.7728611111111
362,60,2020,45.2918888888889
362,61,2015,32.2240972222222
362,61,2016,35.85675
362,61,2017,36.6574861111111
362,61,2018,35.3153148148148
362,61,2019,33.9677083333333
362,61,2020,33.2610555555556
362,62,2015,27.6812878787879
362,62,2016,30.1769027777778
362,62,2017,31.2155555555556
362,62,2018,30.0350740740741
362,62,2019,29.5525
362,62,2020,28.4091666666667
362,63,2015,26.3068472222222
362,63,2016,29.2866944444444
362,63,2017,30.4148611111111
362,63,2018,29.2542592592593
362,63,2019,28.627375
362,63,2020,27.4594444444444
362,64,2015,29.4732575757576
362,64,2016,32.2407638888889
362,64,2017,33.2397638888889
362,64,2018,30.7504814814815
362,64,2019,29.1112916666667
362,64,2020,28.6673333333333
362,65,2015,30.8432916666667
362,65,2016,32.7217638888889
362,65,2017,33.3838472222222
362,65,2018,31.2417777777778
362,65,2019,29.9902638888889
362,65,2020,29.0981111111111
362,66,2015,32.4987638888889
362,66,2016,34.964
362,66,2017,36.1777083333333
362,66,2018,34.710037037037
362,66,2019,33.66075
362,66,2020,32.8760555555556
362,67,2017,52.3363333333333
362,67,2018,47.6645555555556
362,67,2019,44.9165416666667
362,67,2020,43.7056666666667
362,68,2015,34.2375833333333
362,68,2016,38.7616166666667
362,68,2017,38.9703472222222
362,68,2018,36.029462962963
362,68,2019,34.2435833333333
362,68,2020,33.1747777777778
362,70,2015,30.463196969697
362,70,2016,33.2619305555556
362,70,2017,35.0407777777778
362,70,2018,33.9021296296296
362,70,2019,31.9462916666667
362,70,2020,31.5164444444444
362,71,2015,21.4940555555556
362,71,2016,24.2860555555556
362,71,2017,25.4772777777778
362,71,2018,24.1416481481481
362,71,2019,22.5191388888889
362,71,2020,21.6825555555556
362,72,2015,32.0253611111111
362,72,2016,34.7062727272727
362,72,2017,36.2009861111111
362,72,2018,35.1729259259259
362,72,2019,33.1433472222222
362,72,2020,32.6264444444444
362,73,2016,37.1049
362,73,2017,37.4644166666667
362,73,2018,37.1686296296296
